0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
6.0,486.0,7.0,17.0,0.03794642857142857,7.0,847.0,47.0,448.0,1.0,72.0,0.16071428571428573,67.0,0.18732782369146006,461.8888888888889,25226.0,51396038.0,486.125,27447.0,167109.82236842104,51396038.0,32022967.0,51396038.0,289425.0,18223.78431372549,114979.95078299777,25226.0,0.7142857142857143,-0.11975909090909088,-0.3046285714285714,-0.38002499999999995,-0.18436666666666665
5.0,114.0,2.0,12.0,0.12903225806451613,4.0,142.0,7.0,93.0,1.0,15.0,0.16129032258064516,3.0,0.0851063829787234,1140.2,28242.0,1742860.0,413.0,82128.0,97440.9,1742860.0,14840.0,1742860.0,27844.0,115.5,18944.130434782608,28242.0,0.875,0.0026642857142857063,-0.21667,0.2942,0.2942
2.0,11.0,0.0,0.0,0.0,3.0,12.0,1.0,10.0,1.0,1.0,0.1,0.0,0.3333333333333333,0.0,54349.0,1163828.0,0.0,0.0,0.0,1163828.0,28677.0,1163828.0,25672.0,0.0,129314.22222222222,54349.0,0.0,0.0,0.0,0.0,0.0
6.0,515.0,16.0,15.0,0.03409090909090909,7.0,795.0,39.0,440.0,1.0,64.0,0.14545454545454545,31.0,0.09785932721712538,10344.2,8806533.0,33987959.0,1247.0,156879.0,19222.623376623378,33987959.0,18513699.0,33987959.0,5814342.0,15764.761904761905,77421.31890660593,8806533.0,0.5,-0.14807818181818183,-0.1526135135135135,-0.3923142857142857,-0.34542
4.0,257.0,12.0,7.0,0.03017241379310345,10.0,393.0,19.0,232.0,1.0,33.0,0.14224137931034483,36.0,0.25170068027210885,320.0,38368.0,36647429.0,320.0,107031.0,20609.130434782608,36647429.0,25909208.0,36497146.0,370672.0,21475.884615384617,157996.30303030304,38368.0,1.8571428571428572,0.1583277777777778,0.2220294117647059,-0.03671250000000002,-0.03671250000000002
6.0,690.0,26.0,30.0,0.0546448087431694,10.0,1086.0,61.0,549.0,1.0,90.0,0.16393442622950818,60.0,0.11753371868978806,8830.173913043478,36107.0,33762940.0,5090.5,1270180.0,30397.32911392405,33762940.0,32492760.0,32614270.0,295960.0,32236.61971830986,59515.09124087591,36107.0,0.4714285714285714,-0.23531666666666665,-0.2440404761904762,-0.30396923076923077,-0.1557
3.0,39.0,1.0,3.0,0.08571428571428572,3.0,42.0,2.0,35.0,1.0,5.0,0.14285714285714285,1.0,0.25,0.0,59176415.0,96937046.0,0.0,0.0,0.0,96937046.0,59151117.0,96937046.0,25306.0,0.0,2851089.588235294,59176415.0,1.0,-0.38275,-0.38275,0.0,0.0
4.0,116.0,19.0,5.0,0.05555555555555555,6.0,198.0,65.0,90.0,1.0,12.0,0.13333333333333333,21.0,0.205607476635514,120.0,51697.0,2846930.0,120.0,838270.0,47698.607142857145,2846930.0,88754.0,2821163.0,838270.0,47698.607142857145,31698.460674157304,51697.0,0.6,-0.1556142857142857,-0.20557692307692307,-0.1193818181818182,-0.18071
6.0,734.0,9.0,55.0,0.08842443729903537,7.0,996.0,28.0,622.0,1.0,95.0,0.1527331189710611,114.0,0.30913978494623656,8795.714285714286,25947.0,50242959.0,21969.0,0.0,23862.675,50242959.0,63043.0,49492026.0,457128.0,32923.76470588235,79697.30434782608,25947.0,0.6086956521739131,-0.11796164383561641,-0.10366034482758621,0.09344,0.09344
3.0,46.0,1.0,3.0,0.07142857142857142,4.0,52.0,2.0,42.0,1.0,5.0,0.11904761904761904,2.0,0.3,0.0,31481.0,35958627.0,0.0,0.0,1514.0,35958627.0,212612.0,35958627.0,27519.0,1301.0,877039.6829268293,31481.0,2.0,0.6588,0.6588,0.0,0.0
6.0,363.0,65.0,24.0,0.10084033613445378,7.0,437.0,39.0,238.0,1.0,31.0,0.13025210084033614,33.0,0.18181818181818182,7342.142857142857,77363.0,36542573.0,195.0,28188.0,20149.05128205128,36542573.0,50590.0,36542573.0,219392.0,19460.574468085106,154188.0717299578,77363.0,2.0,0.21727368421052629,0.21833283582089552,0.0901842105263158,0.08323783783783784
6.0,2198.0,34.0,80.0,0.04226096143687269,9.0,3794.0,56.0,1893.0,1.0,241.0,0.12731114632857898,331.0,0.17994579945799458,57590.91111111111,46361.0,71866032.0,22137.21052631579,3231230.0,430877.3646759848,71866032.0,20789111.0,71866032.0,63178.0,5485.733333333334,37984.16067653277,46361.0,0.717948717948718,-0.0647896551724138,-0.10933586206896549,-0.4926,-0.4926
3.0,33.0,1.0,1.0,0.03225806451612903,3.0,39.0,7.0,31.0,1.0,1.0,0.03225806451612903,0.0,0.125,0.0,977772.0,2136330.0,0.0,37812.0,0.0,2136330.0,952497.0,2136330.0,37812.0,0.0,71211.0,977772.0,1.0,0.0,0.0,0.0,0.0
5.0,127.0,12.0,7.0,0.06796116504854369,3.0,114.0,6.0,103.0,1.0,5.0,0.04854368932038835,3.0,0.3333333333333333,58512.2,3871496.0,33509714.0,94646.66666666667,173321.0,0.0,33509714.0,22849753.0,33509714.0,173321.0,0.0,328526.60784313723,3871496.0,0.5454545454545454,-0.24610666666666664,-0.12513333333333332,-0.35414,-0.26775
