0,1,2,3,4,5,6,7,8,9,10,11,12,13
5.0,265.0,26.0,17.0,0.08415841584158416,7.0,353.0,19.0,202.0,1.0,29.0,0.14356435643564355,15.0,0.11428571428571428
6.0,45.0,11.0,2.0,0.08,9.0,95.0,13.0,25.0,2.0,7.0,0.28,27.0,0.39436619718309857
6.0,83.0,1.0,3.0,0.039473684210526314,5.0,96.0,5.0,76.0,1.0,6.0,0.07894736842105263,4.0,0.23809523809523808
4.0,98.0,6.0,6.0,0.08,6.0,123.0,10.0,75.0,1.0,7.0,0.09333333333333334,10.0,0.22448979591836735
5.0,345.0,9.0,16.0,0.05228758169934641,8.0,621.0,45.0,306.0,1.0,57.0,0.18627450980392157,10.0,0.03666666666666667
5.0,12.0,3.0,1.0,0.16666666666666666,6.0,28.0,13.0,6.0,1.0,1.0,0.16666666666666666,3.0,0.17391304347826086
3.0,24.0,1.0,1.0,0.045454545454545456,4.0,43.0,11.0,22.0,1.0,4.0,0.18181818181818182,9.0,0.5
6.0,228.0,8.0,15.0,0.07653061224489796,6.0,247.0,10.0,196.0,1.0,18.0,0.09183673469387756,15.0,0.32653061224489793
6.0,323.0,94.0,12.0,0.10909090909090909,7.0,489.0,72.0,110.0,1.0,27.0,0.24545454545454545,40.0,0.1151685393258427
6.0,274.0,3.0,14.0,0.058577405857740586,5.0,292.0,4.0,239.0,1.0,26.0,0.1087866108786611,4.0,0.09803921568627451
6.0,1041.0,74.0,69.0,0.0957004160887656,9.0,1546.0,77.0,721.0,1.0,136.0,0.18862690707350901,184.0,0.22839506172839505
6.0,626.0,27.0,33.0,0.062264150943396226,7.0,774.0,42.0,530.0,1.0,53.0,0.1,53.0,0.2231404958677686
2.0,21.0,0.0,0.0,0.0,3.0,24.0,1.0,20.0,1.0,3.0,0.15,2.0,0.6
3.0,22.0,1.0,1.0,0.05,4.0,26.0,2.0,20.0,1.0,3.0,0.15,1.0,0.2857142857142857
6.0,119.0,23.0,1.0,0.011363636363636364,10.0,196.0,45.0,88.0,6.0,7.0,0.07954545454545454,48.0,0.45794392523364486
6.0,515.0,16.0,15.0,0.03409090909090909,7.0,795.0,39.0,440.0,1.0,64.0,0.14545454545454545,31.0,0.09785932721712538
3.0,9.0,1.0,2.0,0.3333333333333333,3.0,11.0,4.0,6.0,1.0,1.0,0.16666666666666666,2.0,0.5
6.0,390.0,5.0,16.0,0.0446927374301676,7.0,455.0,10.0,358.0,1.0,30.0,0.08379888268156424,24.0,0.2631578947368421
6.0,184.0,23.0,14.0,0.1320754716981132,9.0,238.0,20.0,106.0,1.0,12.0,0.11320754716981132,27.0,0.22950819672131148
6.0,1005.0,36.0,82.0,0.11468531468531469,8.0,2526.0,71.0,715.0,1.0,201.0,0.2811188811188811,388.0,0.21707589285714285
6.0,996.0,31.0,58.0,0.08708708708708708,10.0,1218.0,35.0,666.0,1.0,76.0,0.11411411411411411,157.0,0.2947761194029851
5.0,1266.0,3.0,27.0,0.021969080553295363,7.0,1494.0,20.0,1229.0,2.0,82.0,0.06672091131000814,42.0,0.17063492063492064
4.0,144.0,6.0,10.0,0.08064516129032258,7.0,214.0,16.0,124.0,1.0,16.0,0.12903225806451613,26.0,0.3253012048192771
3.0,44.0,4.0,4.0,0.12903225806451613,7.0,102.0,17.0,31.0,1.0,6.0,0.1935483870967742,2.0,0.043478260869565216
3.0,40.0,3.0,3.0,0.09090909090909091,6.0,71.0,16.0,33.0,1.0,5.0,0.15151515151515152,9.0,0.2564102564102564
2.0,24.0,0.0,0.0,0.0,3.0,25.0,1.0,23.0,1.0,1.0,0.043478260869565216,0.0,0.3333333333333333
3.0,117.0,3.0,5.0,0.045871559633027525,4.0,139.0,7.0,109.0,1.0,12.0,0.11009174311926606,7.0,0.26666666666666666
6.0,483.0,42.0,38.0,0.10704225352112676,8.0,743.0,32.0,355.0,1.0,76.0,0.2140845070422535,101.0,0.2649350649350649
6.0,263.0,25.0,15.0,0.08875739644970414,5.0,222.0,9.0,169.0,1.0,14.0,0.08284023668639054,11.0,0.2222222222222222
6.0,1276.0,27.0,73.0,0.06992337164750957,11.0,1261.0,21.0,1044.0,1.0,72.0,0.06896551724137931,41.0,0.21105527638190955
5.0,246.0,28.0,12.0,0.06153846153846154,7.0,298.0,31.0,195.0,1.0,10.0,0.05128205128205128,23.0,0.23076923076923078
2.0,10.0,0.0,0.0,0.0,3.0,12.0,1.0,9.0,1.0,2.0,0.2222222222222222,0.0,0.3333333333333333
5.0,289.0,69.0,7.0,0.036458333333333336,8.0,515.0,50.0,192.0,1.0,20.0,0.10416666666666667,84.0,0.2631578947368421
3.0,130.0,6.0,11.0,0.0990990990990991,10.0,159.0,6.0,111.0,7.0,11.0,0.0990990990990991,25.0,0.5777777777777777
5.0,1031.0,81.0,62.0,0.07788944723618091,10.0,1340.0,40.0,796.0,1.0,136.0,0.1708542713567839,141.0,0.26591760299625467
6.0,1073.0,3.0,30.0,0.02967359050445104,5.0,1135.0,14.0,1011.0,1.0,63.0,0.06231454005934718,13.0,0.125
6.0,490.0,83.0,19.0,0.06229508196721312,11.0,748.0,53.0,305.0,1.0,49.0,0.16065573770491803,48.0,0.1192214111922141
6.0,169.0,3.0,9.0,0.05921052631578947,6.0,216.0,9.0,152.0,2.0,27.0,0.17763157894736842,8.0,0.15517241379310345
3.0,1159.0,1.0,8.0,0.006956521739130435,4.0,1188.0,3.0,1150.0,1.0,30.0,0.02608695652173913,2.0,0.08571428571428572
6.0,108.0,1.0,4.0,0.04081632653061224,3.0,107.0,2.0,98.0,1.0,6.0,0.061224489795918366,0.0,0.1
3.0,19.0,1.0,1.0,0.058823529411764705,3.0,22.0,4.0,17.0,1.0,1.0,0.058823529411764705,2.0,0.5
6.0,773.0,20.0,65.0,0.12922465208747516,10.0,1948.0,62.0,503.0,1.0,126.0,0.2504970178926441,259.0,0.1832276250880902
6.0,1106.0,7.0,45.0,0.044820717131474105,7.0,1429.0,28.0,1004.0,1.0,95.0,0.0946215139442231,66.0,0.15876777251184834
2.0,4.0,0.0,0.0,0.0,3.0,5.0,1.0,3.0,1.0,1.0,0.3333333333333333,1.0,0.6666666666666666
3.0,6.0,2.0,1.0,0.3333333333333333,3.0,11.0,7.0,3.0,1.0,1.0,0.3333333333333333,0.0,0.125
3.0,37.0,4.0,2.0,0.06896551724137931,4.0,37.0,5.0,29.0,1.0,2.0,0.06896551724137931,0.0,0.1111111111111111
6.0,473.0,8.0,27.0,0.07142857142857142,5.0,581.0,83.0,378.0,1.0,36.0,0.09523809523809523,18.0,0.09547738693467336
6.0,1136.0,9.0,45.0,0.04455445544554455,5.0,1259.0,46.0,1010.0,1.0,66.0,0.06534653465346535,32.0,0.1375
6.0,134.0,11.0,14.0,0.14893617021276595,6.0,437.0,83.0,94.0,1.0,17.0,0.18085106382978725,18.0,0.05555555555555555
3.0,70.0,1.0,1.0,0.014705882352941176,4.0,120.0,21.0,68.0,1.0,9.0,0.1323529411764706,3.0,0.07547169811320754
3.0,306.0,7.0,10.0,0.03571428571428571,4.0,462.0,55.0,280.0,1.0,17.0,0.060714285714285714,25.0,0.1452513966480447
4.0,193.0,2.0,7.0,0.038461538461538464,4.0,212.0,5.0,182.0,1.0,17.0,0.09340659340659341,1.0,0.06896551724137931
6.0,172.0,19.0,7.0,0.056451612903225805,4.0,201.0,32.0,124.0,1.0,12.0,0.0967741935483871,6.0,0.08974358974358974
4.0,237.0,19.0,8.0,0.03940886699507389,8.0,374.0,20.0,203.0,1.0,50.0,0.24630541871921183,38.0,0.22807017543859648
3.0,18.0,6.0,1.0,0.09090909090909091,6.0,40.0,15.0,11.0,1.0,2.0,0.18181818181818182,8.0,0.3
4.0,257.0,12.0,7.0,0.03017241379310345,10.0,393.0,19.0,232.0,1.0,33.0,0.14224137931034483,36.0,0.25170068027210885
4.0,50.0,4.0,3.0,0.07142857142857142,4.0,55.0,4.0,42.0,1.0,4.0,0.09523809523809523,1.0,0.15384615384615385
5.0,140.0,3.0,1.0,0.007462686567164179,4.0,164.0,11.0,134.0,1.0,12.0,0.08955223880597014,6.0,0.2413793103448276
6.0,1346.0,184.0,53.0,0.06535141800246609,6.0,1351.0,87.0,811.0,1.0,113.0,0.13933415536374846,49.0,0.09765625
6.0,2198.0,34.0,80.0,0.04226096143687269,9.0,3794.0,56.0,1893.0,1.0,241.0,0.12731114632857898,331.0,0.17994579945799458
4.0,265.0,9.0,14.0,0.06306306306306306,5.0,358.0,25.0,222.0,1.0,31.0,0.13963963963963963,19.0,0.15037593984962405
6.0,712.0,13.0,31.0,0.050488599348534204,8.0,1001.0,82.0,614.0,1.0,63.0,0.10260586319218241,51.0,0.14444444444444443
6.0,655.0,31.0,58.0,0.15064935064935064,8.0,1236.0,52.0,385.0,1.0,110.0,0.2857142857142857,212.0,0.25478468899521534
3.0,38.0,3.0,3.0,0.09375,6.0,113.0,17.0,32.0,1.0,8.0,0.25,24.0,0.30864197530864196
3.0,88.0,5.0,7.0,0.10294117647058823,6.0,126.0,18.0,68.0,1.0,5.0,0.07352941176470588,2.0,0.05263157894736842
4.0,192.0,13.0,1.0,0.005649717514124294,8.0,298.0,45.0,177.0,1.0,10.0,0.05649717514124294,27.0,0.23140495867768596
3.0,26.0,3.0,2.0,0.09523809523809523,4.0,30.0,5.0,21.0,1.0,2.0,0.09523809523809523,3.0,0.4
6.0,720.0,4.0,19.0,0.027777777777777776,6.0,772.0,23.0,684.0,1.0,32.0,0.04678362573099415,17.0,0.20930232558139536
3.0,7.0,1.0,1.0,0.2,2.0,6.0,0.0,5.0,0.0,0.0,0.0,0.0,0.5
4.0,375.0,39.0,18.0,0.05901639344262295,7.0,591.0,57.0,305.0,1.0,55.0,0.18032786885245902,41.0,0.15498154981549817
6.0,121.0,1.0,7.0,0.06422018348623854,5.0,178.0,15.0,109.0,1.0,16.0,0.14678899082568808,7.0,0.11428571428571428
2.0,25.0,0.0,0.0,0.0,6.0,40.0,7.0,24.0,1.0,2.0,0.08333333333333333,6.0,0.4375
6.0,509.0,33.0,15.0,0.04087193460490463,9.0,982.0,44.0,367.0,1.0,53.0,0.1444141689373297,137.0,0.22885572139303484
2.0,77.0,0.0,0.0,0.0,4.0,93.0,3.0,76.0,1.0,10.0,0.13157894736842105,4.0,0.29411764705882354
6.0,6196.0,181.0,324.0,0.06335549472037544,9.0,6446.0,66.0,5114.0,1.0,370.0,0.07235041063746578,221.0,0.18484596169858453
3.0,58.0,4.0,1.0,0.018867924528301886,4.0,66.0,10.0,53.0,1.0,2.0,0.03773584905660377,2.0,0.21428571428571427
2.0,3.0,0.0,0.0,0.0,3.0,4.0,1.0,2.0,1.0,1.0,0.5,0.0,0.3333333333333333
6.0,1847.0,131.0,133.0,0.12157221206581353,8.0,3475.0,87.0,1094.0,1.0,330.0,0.3016453382084095,170.0,0.07566371681415929
6.0,289.0,3.0,16.0,0.061068702290076333,7.0,518.0,15.0,262.0,1.0,74.0,0.2824427480916031,77.0,0.30952380952380953
4.0,88.0,44.0,5.0,0.16666666666666666,5.0,95.0,27.0,30.0,2.0,4.0,0.13333333333333333,2.0,0.04918032786885246
6.0,1323.0,7.0,32.0,0.026101141924959218,6.0,1574.0,26.0,1226.0,1.0,121.0,0.09869494290375204,50.0,0.15454545454545454
4.0,116.0,19.0,5.0,0.05555555555555555,6.0,198.0,65.0,90.0,1.0,12.0,0.13333333333333333,21.0,0.205607476635514
3.0,9.0,1.0,1.0,0.14285714285714285,3.0,9.0,1.0,7.0,1.0,1.0,0.14285714285714285,0.0,0.3333333333333333
3.0,288.0,17.0,5.0,0.018796992481203006,5.0,381.0,86.0,266.0,1.0,13.0,0.04887218045112782,13.0,0.12962962962962962
2.0,8.0,0.0,0.0,0.0,3.0,9.0,1.0,7.0,1.0,1.0,0.14285714285714285,0.0,0.3333333333333333
6.0,834.0,14.0,35.0,0.04895104895104895,7.0,849.0,21.0,715.0,1.0,34.0,0.04755244755244755,26.0,0.2109375
7.0,3068.0,183.0,210.0,0.13962765957446807,8.0,4755.0,87.0,1504.0,1.0,327.0,0.21742021276595744,412.0,0.12898188632104934
