0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
5.0,265.0,26.0,17.0,0.08415841584158416,6991.428571428572,121400.0,25967486.0,26.5,0.0,0.5454545454545454,-0.14262352941176473,-0.1426142857142857,0.0,0.0
6.0,45.0,11.0,2.0,0.08,145985.57142857142,74467.0,3304416.0,145985.57142857142,987232.0,1.2857142857142858,0.07356,-0.03901111111111112,0.07524285714285714,-0.0501375
6.0,83.0,1.0,3.0,0.039473684210526314,1194.0,25332.0,117345206.0,1194.0,28558.0,1.0,0.13180000000000003,0.13910000000000003,-0.4019,-0.4019
4.0,98.0,6.0,6.0,0.08,1619.0,54430.0,2003820.0,1619.0,269217.0,0.7,-0.11131333333333333,-0.11131333333333333,-0.24055,-0.24055
5.0,345.0,9.0,16.0,0.05228758169934641,4704143.375,27079.0,775104.0,2225.5,105699.0,0.875,-0.012489285714285708,-0.08495217391304348,-0.22215,-0.22215
5.0,12.0,3.0,1.0,0.16666666666666666,150.5,50540.0,2606308.0,150.5,162302.0,1.3333333333333333,-0.08341999999999998,0.025000000000000005,-0.08341999999999998,0.025000000000000005
3.0,24.0,1.0,1.0,0.045454545454545456,0.0,76449.0,610149.0,0.0,0.0,2.0,0.34,0.34,0.0,0.0
6.0,228.0,8.0,15.0,0.07653061224489796,1651.3333333333333,26796.0,11951924.0,1651.3333333333333,33247.0,1.1538461538461537,0.04201538461538461,-0.0047913043478261,0.13585714285714284,-0.06290000000000004
6.0,323.0,94.0,12.0,0.10909090909090909,6435743.175438597,25393.0,53268569.0,8733669.452380951,12723057.0,0.7529411764705882,-0.0814945945945946,-0.09834690265486726,0.3182,0.3182
6.0,274.0,3.0,14.0,0.058577405857740586,4203.25,391931.0,102392676.0,177.66666666666666,0.0,3.75,0.3129388888888889,0.33702,0.0,0.0
6.0,1041.0,74.0,69.0,0.0957004160887656,31334.214285714286,25990.0,9758598.0,57281.52380952381,8290532.0,0.49612403100775193,-0.19700209424083767,-0.23210754716981136,-0.20343283582089555,-0.2791098039215686
6.0,626.0,27.0,33.0,0.062264150943396226,11655.6,354725.0,27312257.0,11888.5,579190.0,2.2777777777777777,0.1952438596491228,0.17310576923076923,0.19138666666666668,0.19138666666666668
2.0,21.0,0.0,0.0,0.0,0.0,26102.0,155369.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,22.0,1.0,1.0,0.05,0.0,79228.0,1220847.0,0.0,25658.0,2.0,0.6249,0.6249,0.0,0.0
6.0,119.0,23.0,1.0,0.011363636363636364,9188.42857142857,25949.0,3287218.0,9188.42857142857,184947.0,0.19047619047619047,-0.38702173913043486,-0.45402105263157894,-0.38702173913043486,-0.45402105263157894
6.0,515.0,16.0,15.0,0.03409090909090909,10344.2,8806533.0,33987959.0,1247.0,156879.0,0.5,-0.14807818181818183,-0.1526135135135135,-0.3923142857142857,-0.34542
3.0,9.0,1.0,2.0,0.3333333333333333,0.0,342066.0,11198252.0,0.0,0.0,0.5,-0.4767,-0.4767,0.0,0.0
6.0,390.0,5.0,16.0,0.0446927374301676,162686.125,27069.0,39887930.0,311946.75,0.0,0.9230769230769231,0.018495652173913045,0.039976470588235294,0.1694857142857143,0.455925
6.0,184.0,23.0,14.0,0.1320754716981132,42419.1,26241.0,1028912.0,28171.8,35365.0,0.6363636363636364,-0.05777407407407406,-0.09935263157894737,0.012573684210526327,-0.05069333333333332
6.0,1005.0,36.0,82.0,0.11468531468531469,18308.0,25744.0,33172569.0,37270.153846153844,33110084.0,0.453781512605042,-0.21300465116279066,-0.27489629629629625,-0.305025,-0.2774142857142857
6.0,996.0,31.0,58.0,0.08708708708708708,60550.637681159424,31013.0,14709934.0,6454.0,0.0,0.7586206896551724,-0.06037951219512194,-0.1189158536585366,0.305825,0.2589
5.0,1266.0,3.0,27.0,0.021969080553295363,1892.0,44871.0,94666128.0,233.0,0.0,1.5,0.13992608695652173,0.09357777777777777,0.0,0.0
4.0,144.0,6.0,10.0,0.08064516129032258,3504.5,119847.0,9740009.0,156.0,231355.0,1.2,0.0049666666666666566,-0.03668750000000001,3.333333333332966e-05,3.333333333332966e-05
3.0,44.0,4.0,4.0,0.12903225806451613,0.0,25234.0,1006129.0,0.0,27564.0,6.0,0.52454,0.52454,0.4215,0.4215
3.0,40.0,3.0,3.0,0.09090909090909091,0.0,29984.0,1815885.0,0.0,96053.0,3.0,0.37444999999999995,0.37444999999999995,0.4019,0.4019
2.0,24.0,0.0,0.0,0.0,0.0,35714.0,22958855.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,117.0,3.0,5.0,0.045871559633027525,0.0,68437.0,24946345.0,0.0,686222.0,1.3333333333333333,0.31496,0.31496,0.0,0.0
6.0,483.0,42.0,38.0,0.10704225352112676,54623.75,26731.0,36059485.0,159.0,0.0,1.5142857142857142,0.10586206896551723,0.10472763157894736,0.051505555555555575,0.0769774193548387
6.0,263.0,25.0,15.0,0.08875739644970414,2642.375,30767.0,58215193.0,587.2857142857143,0.0,1.5,0.06906551724137933,0.0023100000000000065,0.31343333333333334,0.27715833333333334
6.0,1276.0,27.0,73.0,0.06992337164750957,6640.289156626506,25248.0,56254135.0,15303.666666666666,0.0,0.7974683544303798,-0.05337499999999999,-0.13759347826086957,0.021425,-0.04817222222222222
5.0,246.0,28.0,12.0,0.06153846153846154,7855.75,10998266.0,86356242.0,480.3333333333333,20460564.0,0.8888888888888888,-0.06105757575757574,-0.0839392857142857,-0.0378875,-0.04112272727272726
2.0,10.0,0.0,0.0,0.0,0.0,215540.0,13496475.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,289.0,69.0,7.0,0.036458333333333336,506.5,62451.0,21610561.0,506.5,600362.0,3.0714285714285716,0.31427321428571425,0.31427321428571425,0.3334,0.3334
3.0,130.0,6.0,11.0,0.0990990990990991,0.0,57990.0,9414929.0,0.0,0.0,0.7,-0.12985999999999998,-0.12985999999999998,-0.004019999999999979,-0.004019999999999979
5.0,1031.0,81.0,62.0,0.07788944723618091,412439.3103448276,363166.0,39437218.0,40228.666666666664,88677.0,1.0,-0.033113380281690155,-0.038461475409836056,-0.12632272727272725,-0.1971421052631579
