0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
8.0,3475.0,87.0,1094.0,1.0,330.0,0.3016453382084095,170.0,0.07566371681415929,21546.741588156125,289805159.0,272987245.0,289503440.0,554157.0,7050.307692307692,264870.4849039341,44477940.0
9.0,8128.0,89.0,6303.0,1.0,270.0,0.042836744407425034,411.0,0.23691776883266244,55530.12215909091,62565271.0,52846089.0,56703481.0,768987.0,126288.94594594595,8997.696128213265,26485.0
7.0,1410.0,13.0,1166.0,1.0,92.0,0.07890222984562607,38.0,0.17105263157894737,29679.17948717949,71678765.0,3414600.0,71678765.0,90802.0,16861.0,61526.83690987124,45866.0
6.0,279.0,48.0,134.0,1.0,19.0,0.1417910447761194,29.0,0.2097902097902098,46164.78,15936692.0,850.0,13453836.0,485205.0,47267.333333333336,101156.66165413534,26142.0
5.0,826.0,14.0,673.0,1.0,66.0,0.09806835066864784,17.0,0.12244897959183673,3547.5625,157200349.0,288039.0,157176516.0,228060.0,2940.909090909091,233893.625,28115.0
4.0,23.0,5.0,13.0,1.0,2.0,0.15384615384615385,1.0,0.18181818181818182,11115.0,51273894.0,2476.0,51273894.0,63186.0,11115.0,4272824.5,27721.0
5.0,171.0,17.0,129.0,1.0,14.0,0.10852713178294573,5.0,0.15,1238.5,16847456.0,248459.0,16847456.0,30401.0,1588.6666666666667,131620.75,31168.0
6.0,98.0,10.0,44.0,1.0,14.0,0.3181818181818182,5.0,0.11320754716981132,758.1428571428571,1396374.0,1363523.0,1363523.0,30453.0,453.6666666666667,31709.837209302324,25357.0
9.0,426.0,58.0,165.0,1.0,27.0,0.16363636363636364,68.0,0.26436781609195403,41263.22222222222,7892641.0,0.0,7892641.0,1371419.0,83305.88888888889,48125.85975609756,26702.0
7.0,1925.0,63.0,1000.0,1.0,199.0,0.199,192.0,0.20910075839653305,960238.5286343612,50019351.0,20338.0,43954667.0,72934.0,11916.75,43998.66566566566,32341.0
6.0,40.0,15.0,11.0,1.0,2.0,0.18181818181818182,8.0,0.3,6933.181818181818,3886544.0,3191185.0,3812445.0,42947.0,3433.625,381244.5,3216443.0
4.0,20.0,1.0,16.0,1.0,2.0,0.125,1.0,0.4,631.0,9753031.0,0.0,9753031.0,29210.0,631.0,650202.0666666667,25394.0
3.0,74.0,1.0,70.0,1.0,3.0,0.04285714285714286,2.0,0.6,0.0,22712463.0,19395.0,22712463.0,25251.0,0.0,329166.1304347826,44646.0
6.0,630.0,9.0,509.0,1.0,43.0,0.08447937131630648,17.0,0.1487603305785124,98008.45454545454,42140508.0,2409130.0,42140508.0,2315162.0,457763.0,82953.75590551182,211506.0
3.0,11.0,4.0,6.0,1.0,1.0,0.16666666666666666,2.0,0.5,0.0,11198252.0,316778.0,11198252.0,34349.0,0.0,2239650.4,342066.0
3.0,4.0,1.0,2.0,1.0,1.0,0.5,0.0,0.3333333333333333,0.0,56172.0,0.0,56172.0,25230.0,0.0,56172.0,25230.0
5.0,182.0,4.0,151.0,1.0,17.0,0.11258278145695365,7.0,0.26666666666666666,948.5,17000170.0,2268356.0,17000170.0,28359.0,948.5,113334.46666666666,98902.0
3.0,26.0,2.0,21.0,1.0,2.0,0.09523809523809523,1.0,0.3333333333333333,0.0,6261001.0,2018.0,6261001.0,388886.0,0.0,313050.05,29181.0
4.0,41.0,2.0,36.0,1.0,2.0,0.05555555555555555,1.0,0.3333333333333333,212.0,5965395.0,30397.0,5965395.0,25440.0,212.0,170439.85714285713,36169.0
